z6-19846,,Port7,Port7,Port8,Port8, 
# Records: 12,,Battery,Battery,Barometer,Barometer, 
Timestamps,Device RID,raw  Battery Percent,raw  Battery Voltage,raw  Reference Pressure,raw  Logger Temperature,UTC Offset
08/24/2022 02:00:00 AM,2,2091,7725,9603,7490,Not Set
08/24/2022 02:15:00 AM,3,2090,7724,9601,7563,Not Set
08/24/2022 02:30:00 AM,4,2091,7725,9600,7566,Not Set
08/24/2022 02:45:00 AM,5,2091,7732,9598,7552,Not Set
08/24/2022 03:00:00 AM,6,2092,7735,9597,7599,Not Set
08/24/2022 03:15:00 AM,7,2092,7738,9595,7629,Not Set
08/24/2022 12:45:00 PM,8,2092,7738,9593,7644,UTC+09:00
08/24/2022 01:00:00 PM,9,2092,7740,9592,7625,UTC+09:00
08/24/2022 01:15:00 PM,10,2092,7738,9591,7601,UTC+09:00
08/24/2022 01:30:00 PM,11,2092,7735,9590,7571,UTC+09:00
08/24/2022 01:45:00 PM,12,2092,7735,9596,7540,UTC+09:00
08/24/2022 02:00:00 PM,13,2092,7737,9602,7510,UTC+09:00
