z6-19853,Port7,Port7,Port8,Port8
# Records: 13,Battery,Battery,Barometer,Barometer
Timestamps,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
08/24/2022 02:00:00 AM,96,7774,96.04,25.2
08/24/2022 02:15:00 AM,97,7778,96.04,25.6
08/24/2022 02:30:00 AM,97,7781,96.02,25.4
08/24/2022 02:45:00 AM,98,7784,96.01,25.3
08/24/2022 03:00:00 AM,98,7786,95.99,25.6
08/24/2022 12:30:00 PM,98,7788,95.97,25.9
08/24/2022 12:45:00 PM,98,7789,95.95,26.0
08/24/2022 01:00:00 PM,99,7792,95.94,25.8
08/24/2022 01:15:00 PM,99,7793,95.93,25.5
08/24/2022 01:30:00 PM,98,7791,95.92,25.1
08/24/2022 01:45:00 PM,99,7792,95.98,25.0
08/24/2022 02:00:00 PM,98,7790,96.05,24.9
08/24/2022 02:15:00 PM,99,7792,96.1,24.7
