z6-19854,Port7,Port7,Port8,Port8
# Records: 17,Battery,Battery,Barometer,Barometer
Timestamps,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
08/24/2022 02:00:00 AM,86,7689,96.03,25.2
08/24/2022 02:15:00 AM,86,7688,96.02,25.8
08/24/2022 02:30:00 AM,86,7690,96.01,25.7
08/24/2022 02:45:00 AM,87,7697,95.99,25.6
08/24/2022 03:00:00 AM,88,7701,95.97,26.1
08/24/2022 03:15:00 AM,88,7703,95.95,26.4
08/24/2022 03:30:00 AM,88,7706,95.94,26.6
08/24/2022 03:45:00 AM,88,7707,95.92,26.4
08/24/2022 04:00:00 AM,89,7709,95.92,26.0
08/24/2022 04:15:00 AM,87,7695,95.91,25.5
08/24/2022 04:30:00 AM,88,7701,95.9,25.2
08/24/2022 04:45:00 AM,88,7705,95.89,24.8
08/24/2022 02:15:00 PM,88,7706,95.88,24.8
08/24/2022 02:30:00 PM,88,7704,95.87,25.0
08/24/2022 02:45:00 PM,88,7707,95.87,24.9
08/24/2022 03:00:00 PM,89,7708,95.87,24.6
08/24/2022 03:15:00 PM,88,7705,95.86,24.3
