z6-19845,,Port7,Port7,Port8,Port8, 
# Records: 21,,Battery,Battery,Barometer,Barometer, 
Timestamps,Device RID,raw  Battery Percent,raw  Battery Voltage,raw  Reference Pressure,raw  Logger Temperature,UTC Offset
08/24/2022 02:15:00 AM,2,2093,7742,9602,7558,Not Set
08/24/2022 02:30:00 AM,3,2094,7752,9601,7553,Not Set
08/24/2022 02:45:00 AM,4,2094,7757,9600,7522,Not Set
08/24/2022 03:00:00 AM,5,2095,7759,9598,7568,Not Set
08/24/2022 12:30:00 PM,6,2095,7764,9596,7589,UTC+09:00
08/24/2022 12:45:00 PM,7,2095,7764,9594,7603,UTC+09:00
08/24/2022 01:00:00 PM,8,2095,7766,9593,7594,UTC+09:00
08/24/2022 01:15:00 PM,9,2095,7765,9592,7575,UTC+09:00
08/24/2022 01:30:00 PM,10,2095,7764,9591,7538,UTC+09:00
08/24/2022 01:45:00 PM,11,2095,7762,9590,7492,UTC+09:00
08/24/2022 02:00:00 PM,12,2095,7765,9589,7454,UTC+09:00
08/24/2022 02:15:00 PM,13,2096,7767,9588,7455,UTC+09:00
08/24/2022 02:30:00 PM,14,2096,7769,9587,7474,UTC+09:00
08/24/2022 02:45:00 PM,15,2096,7768,9587,7462,UTC+09:00
08/24/2022 03:00:00 PM,16,2096,7770,9588,7431,UTC+09:00
08/24/2022 03:15:00 PM,17,2095,7766,9587,7405,UTC+09:00
08/24/2022 03:30:00 PM,18,2095,7764,9580,7398,UTC+09:00
08/24/2022 03:45:00 PM,19,2095,7764,9569,7386,UTC+09:00
08/24/2022 04:00:00 PM,20,2095,7765,9560,7369,UTC+09:00
08/24/2022 04:15:00 PM,21,2095,7766,9556,7369,UTC+09:00
08/24/2022 04:30:00 PM,22,2095,7764,9546,7362,UTC+09:00
